;1;2;3;4;5;6;7;8;9;*;/;+;-;%;0;a;e;i;o;u;&;t;s;f;l;h;D;n;v;>;=;(;);@;
*S;AX;AX;AX;AX;AX;AX;AX;AX;AX;!;!;!;!;!;!;!;!;!;!;!;!;DN;!;I;!;!;!;!;!;Z;AAACAD;AF;AG;AH;
*A;A;A;A;A;A;A;A;A;A;S;S;S;S;S;!;!;!;!;!;!;B;DN;!;I;!;!;!;!;!;Z;AAACAD;AF;AG;AH;
*B;X;X;X;X;X;X;X;X;X;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
I;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;J;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
J;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;K;!;!;!;!;!;!;!;!;!;
K;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;L;!;!;!;!;!;!;!;!;
L;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;M;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
*M;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
T;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;U;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
U;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;V;!;!;!;!;!;!;
V;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;X;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
X;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
W;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;Y;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
*Y;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
*Z;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
*AB;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
*AE;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
*AF;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
*AG;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
AH;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;AI;!;!;!;
*AI;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;!;!;!;!;!;
*AX;A;A;A;A;A;A;A;A;A;S;S;S;S;S;!;!;!;!;!;!;B;DN;!;I;!;!;!;!;W;Z;AAACAD;AF;AG;AH;
DN;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;EO;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
*AAACAD;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;W;AB;AE;!;!;!;
EO;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;FP;!;!;!;!;!;!;!;!;!;!;!;
FP;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;GQ;!;!;!;!;!;!;!;!;!;!;!;!;
GQ;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;HR;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
*HR;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;T;!;W;!;!;!;!;!;
*!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;
