Pos;Estado;Rotulo;
4;GQ;test;
9;HR;testa;
15;!;testas;
18;C;au1i;
20;AAACAD;=;
23;AXX;5;
23;C;a;
25;AAACAD;=;
28;AXX;0;
30;S;ao;
34;HR;testa;
36;*S;(;
40;C;au1i;
43;AI;@=;
47;AXX;10;
48;A;);
50;AJ;:;
53;C;au1i;
55;AAACAD;=;
60;C;au1i;
62;*S;+;
65;AXX;1;
75;Y;testaDenovo;
77;*S;(;
81;C;au1i;
84;AI;@=;
87;*S;a;
88;C;);
90;AJ;:;
90;C;a;
92;AAACAD;=;
94;C;a;
96;*S;+;
99;AXX;1;
103;M;falha;
106;S;ao;
108;AAACAD;=;
113;C;au1i;
115;*S;+;
117;C;a;
119;*S;*;
121;*S;(;
122;AXX;1;
124;*S;/;
127;*S;3;
128;AXX;);
130;*S;+;
133;AXX;2;
