;a;e;i;o;u;1;2;3;4;5;6;7;8;9;0;&;t;s;f;l;h;D;n;v;<;>;=;(;);@;+;-;/;*;%;
S;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;;E,O,X;;J,X;;;;;;AB,AD,X;AC;AF,AH,AI,X;AK;AL;AM,X;AO;AP;AQ;AR;AS;
*A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;C;;;;;;;;;;;;;;;;;;;;
*B;;;;;;B;B;B;B;B;B;B;B;B;B;D;;;;;;;;;;;;;;;;;;;;
*C;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;
*D;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;
E;;F,X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;;;;;;;;G;;;;;;;;;;;;;;;;;;
G;;;;;;;;;;;;;;;;;H;;;;;;;;;;;;;;;;;;;
H;I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*I;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
J;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;;;;;;;;;;;;;;;;;;;;L;;;;;;;;;;;;;;;;
L;;;;;;;;;;;;;;;;;;;;;M;;;;;;;;;;;;;;;
M;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*N;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
O;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;;;;;;;;;;;;;;;;;;Q;;;;;;;;;;;;;;;;;;
Q;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;
R;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;;;;;;;;;;;;;;;;;;;;;;U;;;;;;;;;;;;;;
U;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;;;;;;;;;;;;;;;;;;;;;;;W;;;;;;;;;;;;;
W;;;;Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;;;;;;;;Z;;;;;;;;;;;;
Z;;;;AA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*AA;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AB;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AC;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
AD;;;;;;;;;;;;;;;;;;;;;;;;;;;AE;;;;;;;;;
*AE;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
AF;;;;;;;;;;;;;;;;;;;;;;;;;;AG;;;;;;;;;;
*AG;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AH;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
AI;;;;;;;;;;;;;;;;;;;;;;;;;;;AJ;;;;;;;;;
*AJ;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AK;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AL;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
AM;;;;;;;;;;;;;;;;;;;;;;;;;;;AN;;;;;;;;;
*AN;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AO;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AP;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AQ;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AR;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
*AS;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
